NPP_2002,NPP_2022,NDVI_2002,NDVI_2022,GEOID,AWATER,LSAD,CBSAFP,STATEFP,COUNTYFP,CSAFP,FUNCSTAT,INTPTLAT,CLASSFP,NAME,NAMELSAD,COUNTYNS,INTPTLON,MTFCC,ALAND,system:index,METDIVFP
2793.351760607684,3408.3507256001835,0.29158981455050464,0.28707399423670155,49049,364153797,06,39340,49,049,482,A,+40.1204248,H1,Utah,Utah County,01448038,-111.6685082,G4020,5189357942,00000000000000000019,
1145.6623672893961,1565.5351523407276,0.16715698064468623,0.1805579051928309,49023,36542088,06,39340,49,023,482,A,+39.7141200,H1,Juab,Juab County,01455158,-112.7904710,G4020,8784407493,0000000000000000001a,
2622.72834268919,2974.0840503308027,0.27914427385439655,0.2795478610965905,49035,164903351,06,41620,49,035,482,A,+40.6678828,H1,Salt Lake,Salt Lake County,01448031,-111.9242397,G4020,1921943668,0000000000000000001b,
1297.134577169674,1556.0996924261592,0.11890406630812504,0.13512821349780965,49045,891073715,06,41620,49,045,482,A,+40.4677525,H1,Tooele,Tooele County,01448036,-113.1239786,G4020,17979556881,0000000000000000001c,
3203.018353050611,3760.9103156487045,0.31026921301783666,0.2841428090666387,49043,26615946,06,44920,49,043,482,A,+40.8720603,H1,Summit,Summit County,01448035,-110.9684862,G4020,4844778489,0000000000000000001d,
2316.557866222024,2671.825999557954,0.20281053322892317,0.20551066160872467,49033,149106532,06,,49,033,,A,+41.6275976,H1,Rich,Rich County,01448030,-111.2402269,G4020,2664700964,00000000000000000278,
1847.6392173652623,2398.3789886249806,0.2400411914073174,0.24138981995512485,49013,38797815,06,,49,013,,A,+40.2893927,H1,Duchesne,Duchesne County,01448021,-110.4295838,G4020,8379502727,00000000000000000279,
1045.980244871829,1374.689683655416,0.15791260606011615,0.16521514658345648,49027,600835681,06,,49,027,,A,+39.0945348,H1,Millard,Millard County,01448027,-113.5250088,G4020,17106839710,0000000000000000027a,
1394.5104772730863,1839.1359930828748,0.21651442660639955,0.21725242053597885,49025,306169207,06,,49,025,,A,+37.2750892,H1,Kane,Kane County,01448026,-111.8153290,G4020,10333912578,0000000000000000027b,
2248.947380084929,2737.4008151878693,0.27849994824956986,0.2633429711196098,49041,20260738,06,,49,041,,A,+38.7468245,H1,Sevier,Sevier County,01448034,-111.8119299,G4020,4947999999,0000000000000000027c,
